x,y,theta
6.052703922019303e-05,4.978979167574435e-07,5.2591337050854056e-05
6.05849250257178e-05,5.40857569818832e-07,5.2610231604334594e-05
6.059734192762434e-05,4.89903506527259e-07,5.2685908870224484e-05
6.0576047352348026e-05,3.748738233039586e-07,5.280533264204454e-05
6.0508362284371885e-05,2.759028330560536e-07,5.290723104184523e-05
6.047163372437994e-05,2.7940337112477634e-07,5.2950448100435344e-05
6.04197746027097e-05,4.089439032049481e-07,5.2909533851763907e-05
6.0430857343432056e-05,5.155856231005113e-07,5.2882959180894446e-05
6.0475384950949467e-05,5.994764569546656e-07,5.2876970042879986e-05
6.052644196074268e-05,5.400688035892485e-07,5.294880714376349e-05
6.0563642586738813e-05,4.0539547648082965e-07,5.3083381556753356e-05
6.054933172958156e-05,2.779561901211168e-07,5.320431861235391e-05
6.055141286999974e-05,2.2697210609310612e-07,5.3282766476928445e-05
6.0542030959987806e-05,3.360504378013301e-07,5.325965529275522e-05
6.052146877098113e-05,5.244694320540455e-07,5.3182231342921524e-05
6.049084665945392e-05,6.545791731307148e-07,5.314267052656812e-05
6.047202983706793e-05,6.130276580184707e-07,5.321122879693663e-05
6.0470603978776425e-05,4.5658089416478564e-07,5.335361273963375e-05
6.043128233405295e-05,2.9654255045201026e-07,5.349762623187791e-05
6.0446637086447904e-05,2.3991883702310945e-07,5.357581846610113e-05
6.0490760248441225e-05,2.956875788727726e-07,5.3580439712344496e-05
6.049854659062862e-05,3.899651194952553e-07,5.3565882248465954e-05
6.0479959339684876e-05,5.030148160766071e-07,5.353893125805725e-05
6.047862606121553e-05,5.530098219100525e-07,5.3548201949639035e-05
6.0484936437756994e-05,5.40297579114895e-07,5.360065550924592e-05
6.0469036003661634e-05,5.008282136565102e-07,5.366812070761211e-05
6.046147390031742e-05,4.313961273317779e-07,5.375621533891984e-05
6.046165763662397e-05,4.1995511863097277e-07,5.3807397117998053e-05
6.0457393970247885e-05,4.521850636566769e-07,5.3830252568611314e-05
6.0440966965664235e-05,4.7642552032056993e-07,5.385823810170999e-05
6.051739418650132e-05,4.902872957892321e-07,5.389169981362114e-05
6.061999764662415e-05,4.955532478415426e-07,5.392917545610768e-05
6.0621328400076475e-05,5.00589384342822e-07,5.397359077399781e-05
6.059823458756519e-05,4.742646302471003e-07,5.403163169436762e-05
6.0552433043335497e-05,4.218032920910757e-07,5.410960301351838e-05
6.046163180316006e-05,3.7516911643581556e-07,5.418054259175723e-05
6.036667247531969e-05,3.566145726705099e-07,5.423491256942713e-05
6.031707512924401e-05,4.014379347947171e-07,5.424955403101618e-05
6.0365889330234274e-05,4.5954521056726453e-07,5.4253917011294526e-05
6.04937474562296e-05,5.005335404999721e-07,5.427033455116883e-05
6.0559299670514675e-05,4.85151253317171e-07,5.432426547009746e-05
6.0583651633064314e-05,4.6142441678974985e-07,5.438619446128576e-05
6.0555900521430664e-05,4.350790030464046e-07,5.44456326478598e-05
6.0484170882916276e-05,4.099168210437568e-07,5.4503386809187446e-05
6.036792473705306e-05,3.8625000507505567e-07,5.456166253903835e-05
6.03025503816558e-05,4.1098838590471967e-07,5.4588242719861e-05
6.027711857294596e-05,4.320699040007844e-07,5.461750996589979e-05
6.030015208949872e-05,4.4592654979036295e-07,5.4652118510269e-05
6.0318768310713574e-05,4.5527386331903444e-07,5.4690690650934e-05
6.043955811832821e-05,4.5716867897478974e-07,5.4728757209615446e-05
6.0499156042928604e-05,4.572034524753347e-07,5.477485848160416e-05
6.0511415507876665e-05,4.528622346063167e-07,5.481916955028695e-05
6.047749346732851e-05,4.4569612141976257e-07,5.486743980990839e-05
6.039819908494247e-05,4.3630091500578184e-07,5.4915998308826114e-05
6.0354890752891395e-05,4.690941594203409e-07,5.493878630350259e-05
6.04161940035958e-05,4.965330681358446e-07,5.4960689884076877e-05
6.044629745229623e-05,5.172817362488074e-07,5.49932730676048e-05
6.046507798482311e-05,5.222950649310797e-07,5.5033935458223334e-05
6.049626532047216e-05,4.4812514297251716e-07,5.5123823653532335e-05
6.0502753792373956e-05,3.5702472412892327e-07,5.5226066977054914e-05
6.046302735312514e-05,2.791378607801202e-07,5.53162069204489e-05
6.041083197987017e-05,2.3902224866097065e-07,5.538463872252191e-05
6.0378509181427555e-05,3.4072004989252726e-07,5.536709088148832e-05
6.032284926817478e-05,4.797723732014565e-07,5.5317969907176776e-05
6.041950726435208e-05,5.886486636459283e-07,5.529240619858245e-05
6.045779196868886e-05,6.016803055221443e-07,5.532448576802804e-05
6.047860664424618e-05,5.319442918754493e-07,5.541550201322035e-05
6.046153051341855e-05,4.5181995061835296e-07,5.550949654799157e-05
6.0415065950496736e-05,3.877231150567804e-07,5.5591626426072774e-05
6.03780127167332e-05,3.8199992986734036e-07,5.5639563005672485e-05
6.035650042430425e-05,4.2072839587914803e-07,5.5658110531349876e-05
6.03766145701405e-05,4.501757750755801e-07,5.5681871526721015e-05
6.0383607003297216e-05,4.7112474367128626e-07,5.571475977156952e-05
6.034422232806786e-05,4.841535412170657e-07,5.574831461563472e-05
6.045947852314254e-05,4.883850372194055e-07,5.578424492195792e-05
6.0503476958197594e-05,4.699709427040302e-07,5.5838932277107634e-05
6.050847756783944e-05,4.157443634516571e-07,5.5920544948083295e-05
6.052024815909995e-05,3.893799954695403e-07,5.5982239168660124e-05
6.049320947119542e-05,3.923124597312303e-07,5.6020082027913076e-05
6.0420829473952083e-05,3.9198487438235273e-07,5.606461028663759e-05
6.034885531588257e-05,4.09578922016182e-07,5.609541843764156e-05
6.0347919273561526e-05,4.5103514810158013e-07,5.610814764310297e-05
6.03642668132729e-05,4.82002537974335e-07,5.6135124664987755e-05
6.0425588683971224e-05,5.029687246801116e-07,5.616387690607313e-05
6.043936553568285e-05,4.759445515720242e-07,5.622665185929263e-05
6.051223318777909e-05,4.3295286498259616e-07,5.6295449624349155e-05
6.062363573663415e-05,4.074892341231762e-07,5.635483290554017e-05
6.061852390190549e-05,4.731261985737928e-07,5.635743506501044e-05
6.054259926809469e-05,5.29415220287467e-07,5.6363364295627446e-05
6.04226572090385e-05,5.717151771553237e-07,5.6381642501462774e-05
6.03282122965639e-05,5.142306999410393e-07,5.6454493651235285e-05
6.026822316098963e-05,4.042774873306504e-07,5.656998755578027e-05
6.0279489025288285e-05,3.065293153152826e-07,5.667282228450662e-05
6.034613396555648e-05,3.080713883345405e-07,5.6717767722482076e-05
6.0399386708549774e-05,4.1303623936008436e-07,5.6697794718009495e-05
6.0469143846603174e-05,5.084315258442817e-07,5.66783833851901e-05
6.061092023725647e-05,5.659970518717345e-07,5.6684642759211214e-05
6.063463226994102e-05,5.211131490399964e-07,5.6755978672565454e-05
